"","degree","normalised.degree","nestedrank","species.strength","interaction.push.pull","PDI","resource.range","PSI","node.specialisation.index.NSI","species.specificity.index","betweenness","weighted.betweeness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Columnea_picta",3,0.157894736842105,0.625,0.117592784573917,-0.294135738475361,0.944444444444444,0.888888888888889,1,1.25806451612903,0.5957669608202,0.0167720158238734,0,0.0306818181818182,0.0155595395587121,2.38771407267496,1.01140426470735,2.74945927399721,0.34180790960452,0.23789321407673,0.230861474360039
"Columnea_strigosa",1,0.0526315789473684,0.90625,0.078125,-0.921875,1,1,1,1.32258064516129,1,0,0,0.0295454545454545,0.0189127192965241,0.375882658502231,0,1,0.120527306967985,0.0865236362388004,0.389654447364496
"Fuchsia_macrostigma",1,0.0526315789473684,1,0.010989010989011,-0.989010989010989,1,1,1,1.35483870967742,1,0,0,0.0289772727272727,0.00397303665178836,8196.04299273653,0,1,0.171374764595104,0.0865236362388004,0
"Glossoloma_oblongicalyx",2,0.105263157894737,0.84375,0.048592032967033,-0.475703983516484,0.981481481481482,0.944444444444444,1,1.16129032258065,0.777281587757401,0.0107646018933889,0,0.0323863636363636,0.0146347814873848,1.59180960033126,0.562335144618808,1.75476535060332,0.291902071563089,0.151828678880053,0.144381521166783
"Guzmania_jaramilloi",4,0.210526315789474,0.5,0.20616855383074,-0.198457861542315,0.962962962962963,0.833333333333333,1,1.16129032258065,0.62271805640898,0.0328451370426713,0,0.0323863636363636,0.0286644831432788,2.47098287896675,1.08889997534522,2.97100409661001,0.446704331450094,0.25706207771907,0.287810287937481
"Heliconia_burleana",8,0.421052631578947,0.0625,1.01929379066287,0.00241172383285913,0.924242424242424,0.611111111111111,1,1,0.451274766840975,0.106998724913226,0.00479616306954436,0.0352272727272727,0.0524656828517681,3.94830168208228,1.69028731664665,5.42103803586682,0.537230189772563,0.469047923052042,0.210278612426473
"Heliconia_griggsiana",2,0.105263157894737,0.71875,0.265567765567766,-0.367216117216117,0.993827160493827,0.944444444444444,1,1.35483870967742,0.9,0,0,0.0289772727272727,0.0309298531853049,0.751766742553407,0.325082973391448,1.38414548846169,0.182674199623352,0.119761300745236,0.406918490857844
"Heliconia_impudica",6,0.315789473684211,0.15625,0.865496568743939,-0.0224172385426769,0.880952380952381,0.722222222222222,1,1.03225806451613,0.413833341931747,0.0717308677703691,0,0.0346590909090909,0.0449657939884723,2.71773069601749,1.64123021348734,5.16151537388011,0.506248929977744,0.446593078650579,0.256865080131593
"Heliconia_virginalis",5,0.263157894736842,0.1875,0.354846941913219,-0.129030611617356,0.938271604938272,0.777777777777778,1,1.09677419354839,0.518657736810333,0.0588796812584683,0.0155875299760192,0.0335227272727273,0.0377224716680505,2.21155836930243,1.3653689861333,3.91716816609787,0.444147090891069,0.338927633489661,0.246219436821711
"Macleania_bullata",5,0.263157894736842,0.21875,0.983839752688379,-0.00323204946232416,0.912698412698413,0.777777777777778,1,1.16129032258065,0.467019267145129,0.0482297524272867,0,0.0323863636363636,0.0353357183518051,2.29323731699007,1.45935941234753,4.30320206713141,0.379472693032015,0.372328690318532,0.435098769487674
"Melastomataceae",1,0.0526315789473684,0.96875,1,0,1,1,1,NA,1,0,0,0,NA,0.795904611997693,0,1,0.00376647834274953,0.0865236362388004,1
"Mezobromelia_capituligera",3,0.157894736842105,0.59375,1.03288898601399,0.0109629953379953,0.977777777777778,0.888888888888889,1,1.25806451612903,0.73269916921091,0.00784662549230218,0,0.0306818181818182,0.0317030182078482,1.1712747472374,0.75893677276206,2.1360039551582,0.165725047080979,0.184814829220747,0.739715606245887
"Palicourea",2,0.105263157894737,0.75,0.151218220338983,-0.424390889830508,0.993055555555556,0.944444444444444,1,1.2258064516129,0.889660159219579,0.0161091962548729,0,0.03125,0.0282678707177038,0.797217959899206,0.348832095843032,1.41741118113173,0.222222222222222,0.12263956943705,0.4302924179689
"Palicourea_acetosoides",4,0.210526315789474,0.53125,1.01665942343908,0.00416485585977112,0.944444444444444,0.833333333333333,1,1.48387096774194,0.569600249687835,0.00702957756529185,0,0.0267045454545455,0.0236508290680823,2.47098270056774,1.16828245017656,3.21646345532414,0.15819209039548,0.278300113983861,0.59247099756179
"Palicourea_demissa",11,0.578947368421053,0,3.61712389925971,0.237920354478156,0.818518518518519,0.444444444444444,1,1,0.371109740152574,0.106998724913226,0.357314148681055,0.0352272727272727,0.0765014914200623,3.82587854570323,1.91729561170162,6.80253686982921,0.424435028248588,0.588580225626131,0.400187121792526
"Palicourea_lineata",2,0.105263157894737,0.78125,0.450847457627119,-0.274576271186441,0.962962962962963,0.944444444444444,1,1.7741935483871,0.702376916856849,0,0,0.0215909090909091,0.0160988072598954,1.23549152125193,0.673011667009257,1.96013170420779,0.120527306967985,0.169597722555015,0.484356111549195
"Pitcairnia_sodiroi",4,0.210526315789474,0.3125,0.334621024431442,-0.166344743892139,0.944444444444444,0.833333333333333,1,1.06451612903226,0.618465843842649,0.0459372169767183,0,0.0340909090909091,0.0467017652217493,1.50353452620809,1.01266311038503,2.75292259835833,0.320338983050847,0.238192873493929,0.331775520767942
"Psammisia_aberrans",3,0.157894736842105,0.5625,0.462963922869583,-0.179012025710139,0.951851851851852,0.888888888888889,1,1.16129032258065,0.605974599648782,0.0107646018933889,0.0167865707434053,0.0323863636363636,0.055745471416089,0.851592755825582,0.999937549027263,2.71811207441539,0.391713747645951,0.235180940383009,0.375225240672771
"Psammisia_sodiroi",7,0.368421052631579,0.09375,2.30610922537427,0.186587032196325,0.956456456456456,0.666666666666667,1,1.12903225806452,0.601837135748131,0.0576924224480615,0.149880095923261,0.0329545454545455,0.0757962271558848,1.97941020559032,1.22210984685111,3.39434172525478,0.343348741653826,0.293690788706126,0.554881165292864
"Psammisia_ulbrichiana",9,0.473684210526316,0.03125,0.888659174174169,-0.0123712028695368,0.931372549019608,0.555555555555556,1,1.03225806451613,0.466729319102562,0.078228883643385,0.251798561151079,0.0346590909090909,0.0642736218359001,3.72518082535674,1.7060177143299,5.50698735621541,0.521310337991872,0.476484570780855,0.234542260545111
"Renealmia_sessilifolia",5,0.263157894736842,0.25,0.180399632147514,-0.163920073570497,0.916666666666667,0.777777777777778,1,1.06451612903226,0.46785562825394,0.0542074189969203,0,0.0340909090909091,0.0270339224743723,3.97952300672321,1.47080847632211,4.35275281648062,0.533145009416196,0.376616001330583,0.154491718959283
"Salvia_quitensis",1,0.0526315789473684,0.9375,0.075,-0.925,1,1,1,1.70967741935484,1,0,0,0.0227272727272727,0.0107935673601049,0.525260979927648,0,1,0.0753295668549906,0.0865236362388004,0.390395325454241
"Wercklea_ferox",2,0.105263157894737,0.875,0.0533608490566038,-0.473319575471698,0.972222222222222,0.944444444444444,1,1.29032258064516,0.728604280478,0.00188230994152047,0,0.0301136363636364,0.0109293271305913,2.62230102153243,0.636514168294813,1.88988157484231,0.220338983050847,0.163519425916067,0.159571883495736
